fcu_concept,method,geves_name,eppo_scientific_name,taxref_ref_full_name,taxon,rank
http://ontology.inrae.fr/frenchcropusage/Abricotiers,eppo,,Prunus armeniaca,"Prunus armeniaca L., 1753",http://taxref.mnhn.fr/lod/taxon/116041,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Abricotiers,eppo,,Prunus armeniaca,"Prunus domestica var. insititia (L.) Fiori & Paol., 1898",http://taxref.mnhn.fr/lod/taxon/965160,http://taxref.mnhn.fr/lod/taxrank/Varietas
http://ontology.inrae.fr/frenchcropusage/Abricotiers_pays,eppo,,Mammea americana,"Mammea americana L., 1753",http://taxref.mnhn.fr/lod/taxon/447085,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Abricotiers_pays,eppo,,Pouteria sapota,"Pouteria sapota (Jacq.) H.E.Moore & Stearn, 1967",http://taxref.mnhn.fr/lod/taxon/630482,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Actinidias,eppo,,Actinidia chinensis,"Actinidia chinensis Planch., 1847",http://taxref.mnhn.fr/lod/taxon/80138,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Actinidias,eppo,,Actinidia chinensis,"Actinidia deliciosa (A.Chev.) C.F.Liang & A.R.Ferguson, 1984",http://taxref.mnhn.fr/lod/taxon/80140,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Actinidias,eppo,,Actinidia chinensis,"Actinidia chinensis Planch., 1847",http://taxref.mnhn.fr/lod/taxon/80138,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Actinidias,eppo,,Actinidia chinensis,"Actinidia deliciosa (A.Chev.) C.F.Liang & A.R.Ferguson, 1984",http://taxref.mnhn.fr/lod/taxon/80140,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Ails,eppo,,Allium sativum,"Allium sativum L., 1753",http://taxref.mnhn.fr/lod/taxon/81505,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Ails,eppo,,Allium sativum,"Allium sativum L., 1753",http://taxref.mnhn.fr/lod/taxon/81505,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Ails,eppo,,Allium sativum,"Allium sativum L., 1753",http://taxref.mnhn.fr/lod/taxon/81505,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Ails,eppo,,Allium vineale,"Allium vineale L., 1753",http://taxref.mnhn.fr/lod/taxon/81544,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Alpistes,eppo,,Phalaris brachystachys,"Phalaris brachystachys Link, 1806",http://taxref.mnhn.fr/lod/taxon/112980,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Alpistes,eppo,,Phalaris canariensis,"Phalaris canariensis L., 1753",http://taxref.mnhn.fr/lod/taxon/112988,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Alpistes,eppo,,Phalaris canariensis,"Phalaris brachystachys Link, 1806",http://taxref.mnhn.fr/lod/taxon/112980,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Amandiers,eppo,,Prunus dulcis,"Prunus dulcis (Mill.) D.A.Webb, 1967",http://taxref.mnhn.fr/lod/taxon/116068,http://taxref.mnhn.fr/lod/taxrank/Species
