fcu_concept,method,geves_name,eppo_scientific_name,taxref_ref_full_name,taxon,rank
http://ontology.inrae.fr/frenchcropusage/Ananas,direct,,,"Ananas comosus (L.) Merr., 1917",http://taxref.mnhn.fr/lod/taxon/447782,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Anemones,direct,,,"Anemone hortensis nothosubsp. fulgens (J.Gay) Nyman, 1878",http://taxref.mnhn.fr/lod/taxon/131396,http://taxref.mnhn.fr/lod/taxrank/SubSpecies
http://ontology.inrae.fr/frenchcropusage/Angeliques,direct,,,"Dicorynia guianensis Amshoff, 1939",http://taxref.mnhn.fr/lod/taxon/733639,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Arachides,direct,,,"Arachis hypogaea L., 1753",http://taxref.mnhn.fr/lod/taxon/611649,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Artichauts,direct,,,"Cynara cardunculus L., 1753",http://taxref.mnhn.fr/lod/taxon/93783,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Asperges,direct,,,"Asparagus albus L., 1753",http://taxref.mnhn.fr/lod/taxon/84265,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Attiers,direct,,,"Annona squamosa L., 1753",http://taxref.mnhn.fr/lod/taxon/446901,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Aubergines,direct,,,"Solanum melongena L., 1753",http://taxref.mnhn.fr/lod/taxon/124075,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Avocatiers,direct,,,"Persea americana Mill., 1768",http://taxref.mnhn.fr/lod/taxon/447273,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Avoines,direct,,,"Avena sativa subsp. sativa L., 1753",http://taxref.mnhn.fr/lod/taxon/132016,http://taxref.mnhn.fr/lod/taxrank/SubSpecies
http://ontology.inrae.fr/frenchcropusage/Avoines,direct,,,"Avena sativa L., 1753",http://taxref.mnhn.fr/lod/taxon/85357,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Badianiers_de_Chine,direct,,,"Illicium verum Hook.f., 1888",http://taxref.mnhn.fr/lod/taxon/629897,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bananiers,direct,,,"Musa x paradisiaca L., 1753",http://taxref.mnhn.fr/lod/taxon/447855,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bananiers,direct,,,"Albula glossodonta (Forsskål, 1775)",http://taxref.mnhn.fr/lod/taxon/423131,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bananiers,direct,,,"Albula vulpes (Linnaeus, 1758)",http://taxref.mnhn.fr/lod/taxon/423133,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bardanes,direct,,,"Arctium minus (Hill) Bernh., 1800",http://taxref.mnhn.fr/lod/taxon/83502,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Betteraves_fourrageres,direct,,,"Beta vulgaris subsp. vulgaris L., 1753",http://taxref.mnhn.fr/lod/taxon/132121,http://taxref.mnhn.fr/lod/taxrank/SubSpecies
http://ontology.inrae.fr/frenchcropusage/Betteraves_sucrieres,direct,,,"Beta vulgaris subsp. vulgaris L., 1753",http://taxref.mnhn.fr/lod/taxon/132121,http://taxref.mnhn.fr/lod/taxrank/SubSpecies
http://ontology.inrae.fr/frenchcropusage/Bigaradiers,direct,,,"Citrus x aurantium L., 1753",http://taxref.mnhn.fr/lod/taxon/966887,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bleuets,direct,,,"Centaurea x basilei Sennen, 1912",http://taxref.mnhn.fr/lod/taxon/89751,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bleuets,direct,,,"Centaurea x extranea Beck, 1893",http://taxref.mnhn.fr/lod/taxon/89774,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bleuets,direct,,,"Centaurea x bergadensis Sennen, 1912",http://taxref.mnhn.fr/lod/taxon/89753,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bleuets,direct,,,"Centaurea x milliatii Arènes, 1939",http://taxref.mnhn.fr/lod/taxon/89798,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bleuets,direct,,,"Centaurea x psammogena Gáyer, 1909",http://taxref.mnhn.fr/lod/taxon/89810,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bleuets,direct,,,"Centaurea hanryi subsp. spinabadia (Bubani ex Timb.-Lagr.) Smythies, 1986",http://taxref.mnhn.fr/lod/taxon/132896,http://taxref.mnhn.fr/lod/taxrank/SubSpecies
http://ontology.inrae.fr/frenchcropusage/Bleuets,direct,,,"Centaurea decipiens Thuill., 1799",http://taxref.mnhn.fr/lod/taxon/89579,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bouleaux,direct,,,"Betula pendula Roth, 1788",http://taxref.mnhn.fr/lod/taxon/85903,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bourraches,direct,,,"Borago officinalis L., 1753",http://taxref.mnhn.fr/lod/taxon/86156,http://taxref.mnhn.fr/lod/taxrank/Species
http://ontology.inrae.fr/frenchcropusage/Bredes,direct,,,"Acmella oleracea (L.) R.K.Jansen, 1985",http://taxref.mnhn.fr/lod/taxon/629011,http://taxref.mnhn.fr/lod/taxrank/Species
